,subject,id,author,date,time,content,clean_content,refs,urls,classification
28450,post suifuel,34577209,Anonymous,2/7/2024,19:35:44,">>34571853If they stop after the first one, they look fine and normal bc in most cases ffs only subtracts male features without actually adding any plasticIf they are addicted to plastic surgery and legitimately bdd they end up like picrel","
If they stop after the first one, they look fine and normal bc in most cases ffs only subtracts male features without actually adding any plasticIf they are addicted to plastic surgery and legitimately bdd they end up like picrel",['>>34571853'],[],1
55636,34604558,34605860,)*Kassandra of Ellaphae|PSO2,2/10/2024,2:34:13,">>34605630thought someone might like that :3i dont need male attention :) (or anyone elses anymore for that matter ^^) and i certainly wouldn't appreciate it, though ill admit ive found it a little flattering at times in the past - im so happy im finally taken by the most beautiful wonderful girl in the world <3good luck with the attention straight frens (no seriously i hope everyone can find happiness or atleast a path towards it!)bless you all )*","
thought someone might like that :3i dont need male attention :) (or anyone elses anymore for that matter ^^) and i certainly wouldn't appreciate it, though ill admit ive found it a little flattering at times in the past - im so happy im finally taken by the most beautiful wonderful girl in the world <3good luck with the attention straight frens (no seriously i hope everyone can find happiness or atleast a path towards it!)bless you all )*",['>>34605630'],[],0
60721,34606802,34611390,Anonymous,02/10/24,15:09:03,>>34606802>Is being a transbian bad?yesthey're all degenerates,"
>Is being a transbian bad?yesthey're all degenerates",['>>34606802'],[],1
43309,/chasergen/ black hole edition,34593140,Anonymous,2/9/2024,2:23:20,why do deranged transbians not stick to their own thread,why do deranged transbians not stick to their own thread,[],[],1
10147,/mtfg/ huh?,34557268,"A.G.P. pilot ""naz"" Nullifier(...)",2/6/2024,1:44:31,heathers really resonates with mehttps://youtube.com/watch?v=LIHPNqYiPSMalmost every single character in it resonates with me in a weird way,heathers really resonates with mehttps://youtube.com/watch?v=LIHPNqYiPSMalmost every single character in it resonates with me in a weird way,[],['/watch?v=LIHPNqYiPSMalmost'],0
19608,False dichotomy,34567823,Anonymous,2/6/2024,23:54:11,">>34567806i mean white people didn’t invent 0, so without it newton/leibniz were never making calculus. the fucking greeks killed a dudes because of irrational numbers. europeans are a warlike creatures who’s main export has been suffering and hatred","
i mean white people didn’t invent 0, so without it newton/leibniz were never making calculus. the fucking greeks killed a dudes because of irrational numbers. europeans are a warlike creatures who’s main export has been suffering and hatred",['>>34567806'],[],0
41953,Don’t call me “they”,34591531,Anonymous,2/8/2024,22:38:27,>>34591521but I am tho,"
but I am tho",['>>34591521'],[],1
75328,34626070,34628603,Anonymous,02/11/24,21:32:59,>>34626070crosscode,"
crosscode",['>>34626070'],[],1
24565,34571416,34573617,Anonymous,2/7/2024,14:20:52,>>34571416Asian dude hereBlack girls are based,"
Asian dude hereBlack girls are based",['>>34571416'],[],1
75102,Hot take,34628387,Anonymous,02/11/24,21:10:09,>>34627523Hedonism leads to decline of one's self and beauty and most often depression and lack of purpose,"
Hedonism leads to decline of one's self and beauty and most often depression and lack of purpose",['>>34627523'],[],0
